,author,like_count,text,timestamp
23,@batsy941,0,there are bugs in the ps5 version. I got stuck in middle of nowhere in a cliff and had to time travel to other points to make progress because save was also not working,
24,@Shawnbzilla,0,Can I be an over weight kid?,
25,@dr.football4662,0,Watching it after buying lmaooo,
26,@josietanner3960,1,"I have only been playing for a few days on Xbox one, but I am impressed by some things and not impressed by others. I grew up playing the old Harry Potter games. I have read the whole series several times, and I used to have the first 2 movies memorized, so I would say that I am a Harry Potter fan. To me this did not feel like Hogwarts. The exterior of the castle looked like Hogwarts, but the interior does not feel nor look like Hogwarts in my opinion. I was disappointed that you cannot talk to characters unless they are part of a quest. What is the point of having an open world? I thought that the story line was weak. I thought that it would have been better to start as a first year and work your way up to a seventh year like Harry did. I was really disappointed that there was no Quidditch in the game. Even the old Harry Potter games had Quidditch. In the books AND the movies there was no surrounding town near Hogwarts. Hogwarts was protected by an enchanted fence and then there was Hogsmeade and that was it. They added additional things in there that I thought were unnecessary, but they probably did it as a dig towards JK Rowing because of her stance at the time.However, there are good things about this game. I do think that the graphics are amazing. The fighting is challenging. There are numerous places to explore. You can catch and have pets like in Fantastic Beasts. You can also ride some beasts. And the classes are fun.",
27,@AnotherRandomClip,2,"I’m a 74 year old male. Been waiting for GTA 6 since I was 64 😑 10 years - wow!Anyways, I’ve never been THAT MUCH of a DIE HARD Harry Potter fan, but this game got me hooked!!Yes, I’m 74!! I’m a fvcking GAMER!!!",
28,@teoddy,0,"I just love watching jake give game reviews, because I can really see that he personally played the game and his reviews were genuine and honest, not like scripted or just got paid to say stuff.  Unlike IGN, you can feel that the guy is just reading a script and not a true gamer.",
29,@toast2153,0,"I feel like this is an EXTREMELY good first game for Harry Potter (Lego Harry Potter doesn&#39;t count) I like that you&#39;re basically an OC so you can imagine yourself in the Harry Potter world, I feel like if they made you just be Harry then it wouldn&#39;t be as like insertive or as entertaining.",
30,@user-by6gc2xg1h,0,who else watches these with the game downloading in the background?,
31,@aspirewot8408,0,Dont buy it due to transphbia,
32,@abestm8,0,Can you enter the dwelings that we see in the coutryside or are the mostly static ? IE just there for atmosphere.,
33,@lloydfrancis9149,0,It seems ok but because they promote Witch Craft and Magic and package it towards the Children Audience I think Ill Pass.,
34,@MeisjeLief88,0,The world looks amazing but after 10 hrs this game gets incredibly repetitive and the realization that the story nor gameplay isn’t gonna get any better hits hard,
35,@emilytuffen1893,0,"Thanks, great review. Very helpful!",
36,@matthewgood1873,0,Your review  sucks,
37,@anthonyjd707,0,Man this makes me hope they do a Percy Jackson’s/Greek Demigod Game almost copy and pasted just different mechanics :),
38,@ghostsintheshadow536,0,Thanks so much this helped alot,
39,@jiufeng8454,0,"I made ,y voice deeper cause it matches my real life voice but I ended up sounding like a robot.",
40,@NoteCat540,0,"As a person who has no particular Harry Potter related nostalgia, I gotta ask, is this game worth a try?",
41,@apolakigamingandmore6376,1,0:22 Lol!!!,0:22
42,@BukovTervicz,0,&quot;The combat is... fairly decent&quot;This is why I play video games 🙄,
43,@harrisonhonda3745,0,IGN feels like gamespot now it’s all about this channel now,
44,@christalbott450,0,"729384792837492394732947932492734 Breathe air. God made all. His son, Jesus, pardoned all of all wrongs.",
45,@worscohli,0,"5:00 combat seems a little annoying....why not make the spells an analog motion input like Skate 3 , that way there is some difficulty, and not just button mashing? ...man im rly trying to find a reason to buy this game....even @ 54% off",5:00
46,@worscohli,1,"I just cant believe they didnt give us an online experience....it&#39;s 20 freaking 23....add some network code from unreal engine and lets us fly around on our brooms together and throw spells at one another. Such a HUGE target missed... I mean, whats the point of character customization if no one else sees you?",
47,@tinainaz3830,0,Watching this AFTER I bought the game,
48,@andressgomoso,1,Watching it after buying it....,
49,@guadalupegranados8876,0,4/10. Theres a LOT of nothing. Only ONE story line. Cant be a REAL slytherin. Game over cuz i got too far from someone. Low rate after school episode on the disney channel. Over hyped...but it nails the music and enviornment. Lame chores and puzzles for lame prizes.,
50,@theslayerboyRED,0,Not the thumbnail looking like my player character lol,
51,@RCA3769,0,Black Friday sale Got it for 20bucks at my local Best Buy,
52,@Beregond1861,1,"(Spoilers ahead)    As far as lore is concerned, I really don&#39;t see how they plan to reconcile the presence of the HUGE chambers in the Restricted Section of the Library with the Chamber of Secrets already being very extensively large themselves and under Hogwarts as well.    I also don&#39;t exactly have faith in their claims of MERLIN being a Hogwarys Slitherin Alumni either as there is WAAAAY too much material of him present in other works of literature.   Although I am not an &quot;expert&quot; of Harry Potter or Merlin lore by any stretch of the imagination, I found those 2 specific points to be quite inconsistent, at least at initial face value.",
53,@AfG_313,0,"Jus bought the game, grew up on Harry pothead, I have played like 1 hour it’s dope",
54,@HighFive212,0,"I pitched the voice down 1 notch and it sounds like my character has his head inside of a fish bowl. Great game though and GREAT preview Jake, as always. Ravenclaw 4 life!",
55,@joepho5148,0,You had me sold at Flipendo. I played Chamber of Secrets on the PC (probably still have the CD Rom somewhere). I just bought the Switch edition and it honestly feels like how Chamber of Secrets felt those 10-15 years ago!,
56,@anasshahid224,1,"Hogwarts Legacy is amazing! A true dream come true for Harry Potter fans, so much fun exploring the world, My personal favorite game of 2023. 😊",
57,@danielpo2505,0,So what score do you suggest guys?. I really wanna buy it on switch,
58,@bojidardimitrov4361,0,Actually i find the castle pretty lively especially with paintings playing music and etc,
59,@highflyer3353,0,Hogwarts 3 -the wild hunt,
60,@DrPerun,0,"Looks bad lol , if that would be muliplayer game i would risk and buyt it.",
61,@Dungbeetlestrikesback,5,Tru I agree there are only 2 genders,
62,@jakoblarsen2061,1,Bro made Tom Riddle as his character lol,
63,@dangeloporter1023,2,"I know I&#39;m late to this video, but this game is absolutely worth the full price. This is the first game I&#39;ve played in YEARS that I felt deserved £60. The cutscenes are STUNNING, the story is FANTASTIC and fresh, the exploration, incredible. The nods to the book are absolutely class, and the customisation is so much fun! The only gripe I had is the issue with the voice pitch changing, still love the fact that the male voice actor is Sebastian Croft (Ben from Heartstopper) 9.5/10",
64,@themadmoderator8465,0,great review even better no rant about jk,
65,@griffithjohnson8409,0,Everything about this game looks and feelings so good for the Harry Potter world. The gameplay is just numbingly repetitive though.,
66,@smokeykat2066,0,9:34 in my playthrough one of the suits of armor destroyed the other 😂 i tried to use repairo it didn&#39;t work,9:34
67,@thatoneguychad420,0,I git Ravenclaw. Tbf I would have been happy with any of the houses. HP movies 1-3 are the fuckin shit. 4+5 are good and I&#39;m indifferent to the last few.,
68,@nbkjgjjfh,0,Game is a 10,
69,@johnassimakopoulos8954,1,Skyrim with wands 🤦,
70,@TheMichaelT123,1,Quests are RIDDLED with riddles which is a pain in the buttocks,
71,@DoctorTex,0,"Despite the name of this show, ive already bought the game, and am watching this video while I wait for my internet to come back on so I can finish downloading it.",
72,@Touko_TV,0,6:19 the enemy on the right just got yeeted away🤣🤣also the goblin at 12:51,6:19
73,@geoffreypalmer2661,1,too hard to complicated no thanks not buying,
74,@titaniumshinbone9262,0,Do u have a before u buy for Naruto games?,
75,@manzanaverde_,0,Finally the dude in the thumbnail looks normal😂,
76,@kannonfps,0,"Thanks to this video i decided to buy it, if i think about it i&#39;ll try to leave some kind of review about it but i&#39;ll surely forget so... i&#39;ve watched every single harry portter movies multiples times, i don&#39;t even know how many time i&#39;ve watched them at this point since i do at least 2 marathon every years since 2018 i think, i&#39;m not the biggest HP fan out there but this is still one of my favorite marathon to go through so i hope i&#39;ll be able to experience something magical throughout this game :D Btw, if you want to buy the game i&#39;d recommend anyone to check out stuff like kinguin, G2A and such because you may be able to get a good deal, i got my deluxe edition for 36€ or smth which almost 2x cheaper than on steam so...",
77,@tboss9126,1,"Great game, they should’ve added Quittich though.. would’ve been a great mini game within the game",
78,@deandrehoward1261,3,Fact #1: the author is a piece of garbage.,
79,@Dasneezequeen,0,I can finally buy the game and know can always come to this channel with an honest review.,
80,@abcdefjkh,2,I haven&#39;t played the game but I watched alot of walkthroughs and to me it feels like it has alot of talking and conversation scenes than true playing correct me if I&#39;m wrong that is why I didn&#39;t buy the game yet and make me hesitate a bit !,
81,@jamesshepherd2649,1,An annoying voice that millions of people love to hear 😊,
82,@tyzilla358,0,"Let&#39;s be honest........this game is hard to complain about when you compare it to the Harry Potter game on PS1........for those of you too young to know or remember what that is......actually, your opinions don&#39;t matter because you missed the Harry Potter train. Nobody cares what you think. But for those of you around my age (33) should look up some footage from the PS1 game.",
83,@iromez1812,0,"wen are game developers gonna make a game for pure fun... where u start off completely overpowered or u can get all the overpowered stuff from the start but u just have to get information and solve puzzles without needing some extra tool u get at 85% completion. Like &quot;Oh, wow, i just got the coolest thing in this game, too bad i only have 1 hour of gameplay left until i get 100%&quot;",
84,@iromez1812,0,"can you turn off that annoying big icon on your screen at 5:40? You already have a mini-map, a path on the mini-map, an icon on the mini-map and a big &quot;YOU NEED TO DO THIS&quot; reminder above the mini-map; you don&#39;t also need a big distraction in the corner of your screen wen u are doing stuff like @ 5:50",5:40
85,@verne51,0,your review breaks down at the 1:20 mark when you start listing other games.  dont assume we have played or heard of any of those games. why cant people describe a thing without attempting to draw a comparison?? sad state of review here ... pass,1:20
86,@meladgoat,1,still playing this. 1 of the best games I&#39;ve ever played,
87,@damo.r,2,"So I&#39;ve never seen HP but I saw I might like this game so I started watching the films and they&#39;re quite enjoyable,great vid can&#39;t wait to get the game",
88,@bodhisativaa,0,this game definitely needs to be played on hardest difficulty for max enjoyment,
89,@TheSandkastenverbot,0,"Pro: wonderful visuals, lovely details, varied quests, likeable npcs. Feels like an immersive interactive bookCon: gameplay can feel tedious for some. Definitely not a game if you want uninterrupted action or seek a challenge.",
90,@6qlc-jy3pi,0,is it laggy?,
91,@courtney3100,0,The only two things I wish that were done better is the character creation. I wish it was more like a Sims 4 or Skyrim creation system. The other thing is the Ravenclaw Common Room bedrooms. I noticed in Slytherin (idk about Gryffindor or Hufflepuff) that they have rooms for all years 1-7. Ravenclaw has like 2 unlabeled bedrooms but not enough for years 1-7 together and only year 5 and year 7 rooms have the plaque stating what year lives there. Other than that the game was great and it’s super addicting especially because I love Harry Potter so much and waited forever to get this.,
92,@aarengraves9962,0,"ATTENTION! This is NOT and RPG. This an action-adventure game, like Lara Croft and Arkham Knight.",
